CustomerID,ChurnStatus,LastLoginDate,LoginFrequency,ServiceUsage,AmountSpent,ProductCategory,ResolutionStatus,Recency
176,1,2023-09-23,15,Website,936.78,Clothing,None,585
177,0,2023-03-05,28,Website,429.79,Electronics,Unresolved,787
178,0,2023-05-06,20,Website,741.63,Groceries,None,725
179,0,2023-09-06,38,Website,412.58,Electronics,None,602
180,0,2023-01-30,6,Online Banking,1985.93,Groceries,None,821
181,0,2023-04-22,30,Mobile App,715.68,Clothing,None,739
182,0,2023-06-12,32,Online Banking,1491.65,Electronics,Resolved,688
183,1,2023-04-21,49,Online Banking,1135.44,Groceries,Resolved,740
184,0,2023-04-14,41,Online Banking,97.19,Furniture,None,747
185,0,2023-10-23,4,Online Banking,1284.89,Clothing,Resolved,555
186,0,2023-10-18,35,Mobile App,460.87,Furniture,None,560
187,0,2023-01-09,30,Mobile App,513.26,Books,Resolved,842
188,0,2023-03-29,49,Mobile App,1768.25,Furniture,Neutral,763
189,0,2023-06-21,41,Mobile App,574.47,Books,Neutral,679
190,1,2023-04-01,22,Website,1417.97,Groceries,Unresolved,760
191,0,2023-02-15,2,Website,1942.65,Electronics,Neutral,805
192,0,2023-07-07,12,Website,1172.53,Electronics,Neutral,663
193,0,2023-05-11,34,Website,270.34,Clothing,Neutral,720
194,0,2023-10-23,34,Website,1388.97,Clothing,None,555
195,0,2023-03-07,14,Website,1711.71,Books,Neutral,785
196,0,2023-01-22,39,Website,2134.16,Electronics,Unresolved,829
197,1,2023-03-16,39,Online Banking,925.43,Books,Neutral,776
198,0,2023-06-21,45,Online Banking,1461.25,Books,None,679
199,0,2023-01-08,6,Website,1270.25,Electronics,Neutral,843
200,0,2023-02-10,8,Online Banking,1702.06,Groceries,Resolved,810
201,1,2023-08-14,27,Online Banking,956.58,Books,Neutral,625
202,0,2023-03-07,12,Mobile App,336.18,Electronics,Resolved,785
203,0,2023-04-16,21,Website,1767.9,Electronics,Resolved,745
204,0,2023-05-08,38,Online Banking,454.14,Books,Neutral,723
205,0,2023-01-27,4,Mobile App,741.97,Groceries,None,824
206,0,2023-11-27,25,Mobile App,99.58,Clothing,None,520
207,0,2023-03-28,43,Website,1799.17,Groceries,None,764
208,0,2023-06-03,24,Online Banking,436.89,Clothing,None,697
209,0,2023-10-12,12,Mobile App,1328.06,Clothing,None,566
210,0,2023-07-24,29,Online Banking,1727.27,Clothing,None,646
211,0,2023-03-03,35,Online Banking,1222.21,Books,None,789
212,0,2023-06-14,37,Website,1047.61,Electronics,Resolved,686
213,1,2023-02-23,30,Website,2092.89,Electronics,Resolved,797
214,0,2023-11-02,41,Online Banking,734.1,Books,None,545
215,0,2023-11-07,42,Online Banking,1343.7,Books,Unresolved,540
216,0,2023-09-06,35,Mobile App,1570.86,Clothing,Resolved,602
217,1,2023-08-14,1,Online Banking,2576.78,Clothing,Unresolved,625
218,0,2023-06-12,40,Mobile App,1766.57,Books,None,688
219,0,2023-07-18,26,Online Banking,1624.32,Furniture,None,652
220,0,2023-11-12,35,Online Banking,1030.46,Electronics,None,535
221,1,2023-06-16,42,Mobile App,1277.29,Furniture,Resolved,684
222,0,2023-06-03,7,Website,1702.45,Groceries,None,697
223,0,2023-07-22,4,Online Banking,1736.26,Groceries,Resolved,648
224,0,2023-05-16,5,Website,2520.32,Groceries,None,715
225,0,2023-07-15,39,Online Banking,2650.29,Electronics,Neutral,655
226,0,2023-03-10,11,Mobile App,1461.18,Clothing,Unresolved,782
227,1,2023-11-08,15,Online Banking,1250.35,Clothing,None,539
228,0,2023-10-16,32,Website,2185.36,Books,Neutral,562
229,0,2023-12-23,37,Website,2559.03,Clothing,Unresolved,494
230,1,2023-09-04,9,Online Banking,1468.07,Clothing,Neutral,604
231,1,2023-02-20,47,Online Banking,1353.42,Books,None,800
232,0,2023-09-08,32,Online Banking,2082.19,Furniture,Unresolved,600
233,0,2023-09-18,33,Website,817.42,Books,Resolved,590
234,1,2023-06-19,23,Online Banking,1576.7,Electronics,None,681
235,0,2023-12-28,15,Mobile App,770.5,Electronics,Unresolved,489
236,1,2023-09-25,30,Online Banking,1482.99,Electronics,Resolved,583
237,1,2023-01-13,16,Online Banking,398.99,Electronics,None,838
238,1,2023-09-20,22,Mobile App,762.44,Groceries,Unresolved,588
239,1,2023-10-09,43,Mobile App,2654.84,Electronics,Unresolved,569
240,0,2023-07-27,30,Online Banking,859.47,Groceries,Resolved,643
241,0,2023-12-19,1,Mobile App,2185.93,Clothing,Resolved,498
242,1,2023-02-16,35,Online Banking,726.73,Clothing,Neutral,804
243,0,2023-12-09,18,Website,2362.18,Books,Unresolved,508
244,0,2023-06-21,15,Online Banking,1649.9,Clothing,Unresolved,679
245,0,2023-05-18,21,Online Banking,2965.09,Books,None,713
246,0,2023-03-24,40,Mobile App,1171.14,Clothing,Resolved,768
247,0,2023-12-24,2,Online Banking,1887.68,Clothing,Resolved,493
248,1,2023-08-26,30,Online Banking,1519.14,Furniture,Unresolved,613
249,0,2023-02-06,40,Website,356.39,Books,Unresolved,814
250,0,2023-01-09,32,Website,1607.36,Electronics,Resolved,842
251,1,2023-03-24,28,Website,1968.79,Books,Resolved,768
252,1,2023-08-11,11,Online Banking,980.71,Groceries,None,628
253,0,2023-12-03,7,Online Banking,1319.11,Clothing,Resolved,514
254,1,2023-08-25,1,Mobile App,2220.26,Electronics,Neutral,614
255,0,2023-06-17,43,Mobile App,2672.69,Furniture,Unresolved,683
256,0,2023-08-26,28,Mobile App,208.67,Groceries,Neutral,613
257,0,2023-01-31,39,Website,92.62,Furniture,Resolved,820
258,0,2023-06-17,19,Mobile App,832.85,Groceries,Neutral,683
259,0,2023-03-16,39,Online Banking,1469.67,Books,Resolved,776
260,1,2023-08-24,32,Website,2395.72,Furniture,Resolved,615
261,1,2023-05-29,49,Online Banking,489.07,Clothing,Unresolved,702
262,1,2023-02-04,30,Website,2940.59,Books,Unresolved,816
263,0,2023-12-28,2,Website,13.04,Groceries,Resolved,489
264,0,2023-03-08,44,Online Banking,525.02,Books,Resolved,784
265,0,2023-04-06,43,Online Banking,1511.87,Groceries,None,755
266,0,2023-01-07,37,Online Banking,459.39,Books,Resolved,844
267,0,2023-11-24,19,Online Banking,461.36,Books,Unresolved,523
268,0,2023-12-19,26,Mobile App,1096.16,Books,None,498
269,0,2023-06-16,1,Mobile App,2123.87,Books,Neutral,684
270,0,2023-04-12,42,Mobile App,734.74,Furniture,Unresolved,749
271,1,2023-10-28,28,Online Banking,865.97,Books,None,550
272,1,2023-07-16,26,Online Banking,1170.04,Books,Unresolved,654
273,0,2023-08-30,40,Mobile App,1562.83,Clothing,None,609
274,0,2023-01-24,35,Online Banking,1117.33,Books,Unresolved,827
275,0,2023-06-15,3,Website,605.79,Groceries,Neutral,685
276,1,2023-06-02,26,Online Banking,2069.7,Books,None,698
277,0,2023-07-06,33,Mobile App,1217.78,Electronics,None,664
278,0,2023-02-22,22,Online Banking,1423.1,Books,Unresolved,798
279,0,2023-04-12,6,Mobile App,1209.94,Clothing,Resolved,749
280,0,2023-11-19,42,Online Banking,836.33,Books,Neutral,528
281,0,2023-12-15,34,Online Banking,1563.95,Furniture,Resolved,502
282,1,2023-07-22,3,Online Banking,2016.68,Electronics,Resolved,648
283,1,2023-09-20,17,Online Banking,1362.86,Furniture,None,588
284,0,2023-05-15,6,Mobile App,1683.13,Electronics,None,716
285,0,2023-08-31,42,Mobile App,1026.59,Groceries,None,608
286,1,2023-04-03,5,Website,512.19,Books,Neutral,758
287,0,2023-06-10,20,Website,615.07,Books,Neutral,690
288,0,2023-03-21,1,Website,2217.85,Clothing,Unresolved,771
289,0,2023-11-14,24,Mobile App,30.48,Groceries,None,533
290,0,2023-09-15,9,Mobile App,403.33,Electronics,Unresolved,593
291,0,2023-09-26,15,Website,1572.74,Clothing,Unresolved,582
292,0,2023-12-06,37,Website,2429.7,Clothing,Neutral,511
293,0,2023-01-26,18,Mobile App,209.68,Electronics,None,825
294,0,2023-03-19,22,Online Banking,1882.08,Furniture,Resolved,773
295,0,2023-03-09,11,Website,960.99,Books,None,783
296,0,2023-12-01,38,Mobile App,261.24,Furniture,Unresolved,516
297,0,2023-10-06,3,Mobile App,1714.09,Groceries,None,572
298,0,2023-08-23,29,Website,1305.25,Books,Unresolved,616
299,0,2023-11-04,46,Mobile App,9.8,Groceries,Neutral,543
300,0,2023-10-15,32,Website,926.53,Groceries,Resolved,563
301,0,2023-10-02,34,Online Banking,1298.95,Books,Resolved,576
302,0,2023-02-18,8,Website,925.58,Furniture,Resolved,802
303,0,2023-05-20,34,Online Banking,948.96,Electronics,Resolved,711
304,0,2023-04-28,5,Online Banking,695.73,Clothing,Unresolved,733
305,0,2023-07-15,9,Mobile App,288.26,Groceries,None,655
306,0,2023-05-03,17,Mobile App,2285.6,Books,None,728
307,0,2023-11-04,20,Mobile App,1416.68,Books,Resolved,543
308,0,2023-10-23,42,Mobile App,1791.69,Groceries,None,555
309,0,2023-04-16,27,Online Banking,1400.5,Books,Resolved,745
310,0,2023-07-05,5,Online Banking,1058.14,Furniture,None,665
311,1,2023-07-07,46,Mobile App,592.9,Furniture,Resolved,663
312,0,2023-06-23,29,Website,283.16,Clothing,Unresolved,677
313,0,2023-06-19,11,Online Banking,34.91,Furniture,None,681
314,0,2023-03-21,26,Mobile App,536.29,Books,Unresolved,771
315,1,2023-10-09,23,Mobile App,601.31,Clothing,Unresolved,569
316,0,2023-01-28,18,Mobile App,649.71,Clothing,None,823
317,0,2023-06-02,20,Website,467.83,Books,Unresolved,698
318,0,2023-09-11,44,Website,2145.44,Groceries,None,597
319,0,2023-03-12,21,Online Banking,477.46,Books,None,780
320,0,2023-02-11,26,Online Banking,823.75,Electronics,Neutral,809
321,0,2023-10-30,32,Online Banking,2007.24,Electronics,Neutral,548
322,0,2023-11-20,1,Online Banking,61.98,Electronics,Unresolved,527
323,1,2023-03-10,2,Website,839.3,Clothing,Resolved,782
324,0,2023-02-23,4,Mobile App,1369.7,Books,Unresolved,797
325,0,2023-09-30,41,Online Banking,553.79,Clothing,Unresolved,578
326,0,2023-03-26,10,Website,605.89,Books,None,766
327,0,2023-08-27,28,Website,403.37,Clothing,Neutral,612
328,0,2023-04-17,49,Mobile App,848.26,Electronics,None,744
329,0,2023-08-13,37,Online Banking,2361.19,Groceries,Unresolved,626
330,0,2023-09-18,17,Mobile App,2582.54,Furniture,None,590
331,0,2023-01-02,30,Website,908.32,Books,Neutral,849
332,0,2023-12-06,6,Website,1577.44,Groceries,None,511
333,0,2023-12-13,11,Website,2439.39,Electronics,Neutral,504
334,0,2023-01-18,11,Online Banking,1719.37,Groceries,Resolved,833
335,1,2023-12-27,2,Mobile App,756.52,Books,Resolved,490
336,0,2023-01-25,20,Mobile App,135.94,Furniture,None,826
337,0,2023-08-26,34,Website,608.06,Groceries,None,613
338,0,2023-12-04,41,Mobile App,13.86,Groceries,None,513
339,0,2023-04-23,1,Website,682.94,Groceries,Resolved,738
340,0,2023-09-21,48,Mobile App,1147.08,Electronics,Unresolved,587
341,0,2023-07-05,27,Online Banking,1022.86,Books,Resolved,665
342,1,2023-10-02,26,Online Banking,2295.76,Furniture,Resolved,576
343,0,2023-07-26,26,Online Banking,924.63,Clothing,Resolved,644
344,0,2023-06-27,8,Mobile App,1466.6,Books,Neutral,673
345,0,2023-09-08,29,Online Banking,1980.5,Books,Resolved,600
346,0,2023-01-07,17,Online Banking,1641.62,Electronics,Unresolved,844
347,0,2023-07-20,33,Mobile App,1974.45,Furniture,Neutral,650
348,0,2023-11-30,1,Online Banking,704.7,Books,Resolved,517
349,0,2023-08-20,24,Mobile App,1376.54,Books,Resolved,619
350,0,2023-04-23,25,Online Banking,2702.27,Books,Unresolved,738
351,1,2023-07-23,1,Mobile App,588.68,Books,Unresolved,647
352,0,2023-09-02,26,Website,1493.9,Books,Neutral,606
353,1,2023-03-19,16,Online Banking,266.08,Electronics,Neutral,773
354,0,2023-07-13,49,Online Banking,324.4,Books,Unresolved,657
355,0,2023-01-06,33,Website,368.57,Clothing,Neutral,845
356,0,2023-07-15,28,Mobile App,2316.37,Clothing,None,655
357,0,2023-09-10,45,Online Banking,780.18,Books,Neutral,598
358,1,2023-01-17,24,Mobile App,2282.89,Books,Unresolved,834
359,0,2023-05-03,36,Website,2154.17,Electronics,Resolved,728
360,0,2023-03-26,14,Online Banking,1731.26,Clothing,Resolved,766
361,0,2023-04-19,49,Mobile App,2348.41,Clothing,None,742
362,1,2023-08-14,5,Mobile App,469.14,Furniture,Neutral,625
363,0,2023-01-01,27,Online Banking,1514.16,Books,Resolved,850
364,0,2023-08-28,14,Mobile App,286.8,Clothing,Resolved,611
365,1,2023-10-29,24,Online Banking,1188.84,Electronics,Resolved,549
366,0,2023-01-16,46,Website,2518.16,Books,None,835
367,0,2023-09-16,28,Mobile App,2197.79,Clothing,Unresolved,592
368,0,2023-01-17,8,Online Banking,1939.2,Books,None,834
369,0,2023-02-07,35,Website,3352.34,Furniture,Unresolved,813
370,0,2023-06-22,47,Online Banking,1239.81,Books,Neutral,678
371,0,2023-06-15,35,Website,1454.45,Groceries,Resolved,685
372,0,2023-10-26,23,Website,35.85,Groceries,Neutral,552
373,0,2023-05-10,13,Online Banking,267.09,Books,Unresolved,721
374,0,2023-12-25,47,Online Banking,2143.59,Books,None,492
375,0,2023-08-31,17,Website,133.2,Groceries,Unresolved,608
376,0,2023-02-28,31,Website,1143.8,Books,Resolved,792
377,0,2023-05-11,10,Online Banking,2366.3,Groceries,Neutral,720
378,0,2023-08-22,36,Website,1333.6,Books,Neutral,617
379,0,2023-07-24,29,Online Banking,1582.08,Groceries,Resolved,646
380,0,2023-06-10,16,Mobile App,1172.66,Furniture,None,690
381,1,2023-07-18,33,Website,1087.62,Electronics,Resolved,652
382,0,2023-03-01,14,Mobile App,2467.11,Furniture,Resolved,791
383,0,2023-08-21,7,Online Banking,800.56,Clothing,Neutral,618
384,0,2023-12-26,33,Website,339.17,Clothing,Neutral,491
385,1,2023-08-24,3,Mobile App,1338.28,Electronics,None,615
386,0,2023-10-23,26,Website,773.11,Clothing,Resolved,555
387,0,2023-10-30,39,Website,47.52,Clothing,Unresolved,548
388,1,2023-08-21,5,Online Banking,1787.42,Books,None,618
389,1,2023-04-04,23,Online Banking,522.89,Furniture,None,757
390,0,2023-02-18,33,Mobile App,281.95,Furniture,None,802
391,0,2023-07-21,30,Mobile App,1990.15,Books,None,649
392,0,2023-09-03,33,Mobile App,1533.34,Groceries,Resolved,605
393,0,2023-12-04,43,Website,1960.83,Books,Resolved,513
394,0,2023-07-11,25,Online Banking,2346.48,Clothing,Neutral,659
395,1,2023-07-22,22,Online Banking,680.27,Clothing,Neutral,648
396,1,2023-05-07,1,Online Banking,865.73,Furniture,Unresolved,724
397,0,2023-05-10,10,Online Banking,2322.98,Groceries,None,721
398,0,2023-10-09,23,Online Banking,1678.12,Groceries,Resolved,569
399,0,2023-06-02,33,Website,568.35,Books,Resolved,698
400,0,2023-03-19,39,Online Banking,2309.85,Books,None,773
401,0,2023-08-22,28,Website,1273.36,Furniture,Neutral,617
402,1,2023-08-11,43,Mobile App,609.58,Books,Neutral,628
403,0,2023-08-30,8,Online Banking,1645.76,Furniture,Resolved,609
404,1,2023-10-28,27,Mobile App,2787.1,Groceries,Resolved,550
405,0,2023-02-25,5,Online Banking,508.49,Furniture,None,795
406,0,2023-12-29,15,Website,2017.78,Groceries,Neutral,488
407,1,2023-08-25,48,Mobile App,2722.74,Electronics,Unresolved,614
408,0,2023-10-14,22,Online Banking,2101.4,Clothing,Neutral,564
409,0,2023-01-20,35,Mobile App,1524.84,Electronics,Unresolved,831
410,0,2023-08-09,30,Online Banking,1426.2,Groceries,Unresolved,630
411,1,2023-09-20,48,Website,87.02,Clothing,None,588
412,0,2023-12-31,44,Website,184.86,Clothing,None,486
413,0,2023-03-16,33,Website,1592.61,Books,Unresolved,776
414,0,2023-09-04,30,Online Banking,1497.89,Electronics,Resolved,604
415,0,2023-06-18,36,Online Banking,354.64,Clothing,Resolved,682
